0.00 0.00
0.10 0.10
0.20 0.20
0.30 0.30
0.40 0.39
0.51 0.48
0.61 0.57
0.71 0.65
0.81 0.72
0.91 0.79
1.01 0.85
1.11 0.90
1.21 0.94
1.31 0.97
1.41 0.99
1.52 1.00
1.62 1.00
1.72 0.99
1.82 0.97
1.92 0.94
2.02 0.90
2.12 0.85
2.22 0.80
2.32 0.73
2.42 0.66
2.53 0.58
2.63 0.49
2.73 0.40
2.83 0.31
2.93 0.21
3.03 0.11
3.13 0.01
3.23 -0.09
3.33 -0.19
3.43 -0.29
3.54 -0.38
3.64 -0.47
3.74 -0.56
3.84 -0.64
3.94 -0.72
4.04 -0.78
4.14 -0.84
4.24 -0.89
4.34 -0.93
4.44 -0.96
4.55 -0.99
4.65 -1.00
4.75 -1.00
4.85 -0.99
4.95 -0.97
5.05 -0.94
5.15 -0.91
5.25 -0.86
5.35 -0.80
5.45 -0.74
5.56 -0.67
5.66 -0.59
5.76 -0.50
5.86 -0.41
5.96 -0.32
6.06 -0.22
6.16 -0.12
6.26 -0.02
6.36 0.08
6.46 0.18
6.57 0.28
6.67 0.37
6.77 0.47
6.87 0.55
6.97 0.63
7.07 0.71
7.17 0.78
7.27 0.84
7.37 0.89
7.47 0.93
7.58 0.96
7.68 0.98
7.78 1.00
7.88 1.00
7.98 0.99
8.08 0.97
8.18 0.95
8.28 0.91
8.38 0.86
8.48 0.81
8.59 0.74
8.69 0.67
8.79 0.59
8.89 0.51
8.99 0.42
9.09 0.33
9.19 0.23
9.29 0.13
9.39 0.03
9.49 -0.07
9.60 -0.17
9.70 -0.27
9.80 -0.36
9.90 -0.46
10.00 -0.54
